"LANGUAGE","한국어"
"RPR_CAL_SCH_PRO","일자리 및 비용 조정"
"RPR_CAL_SCH_WKR","학교 근로자"
"RPR_CAL_SCH_WKR_TIP","위의 설정으로 계산된, 이 학교가 제공하는 일자리의 수 및 필요 학력"
"RPR_CAL_SCH_CST","건설비/유지비"
"RPR_CAL_SCH_CST_TIP","위의 설정에 의해서 계산된 학교의 건설비 및 주간 유지비"
"RPR_TIT_RDF","거주 건물 기본 계산값"
"RPR_TIT_CDF","상업 건물 기본 계산값"
"RPR_TIT_IDF","산업 건물 기본 계산값"
"RPR_TIT_EDF","원료 생산 건물 기본 계산값"
"RPR_TIT_ODF","사무 건물 기본 계산값"
"RPR_TIT_SDF","학교 기본 계산값"
"RPR_TIT_CGO","상업 건물 및 상품 설정"
"RPR_TIT_IGO","산업 건물 생산 설정"
"RPR_TIT_EGO","원료 생산 건물 생산 설정"
"RPR_TIT_OGO","사무 건물 생산 설정"
"RPR_OPT_MOD","모드 설정"
"RPR_OPT_KEY","건물 옵션 창 열기 단축키"
"PRESS_ANY_KEY","아무 키나 누르세요."
"RPR_OPT_LEG","옛 계산법"
"RPR_OPT_CON","소비량"
"RPR_OPT_LVL","레벨"
"RPR_OPT_APH","가구당 면적 (m2)"
"RPR_OPT_APW","근로자당 면적 (m2)"
"RPR_OPT_FLR","층높이 (m)"
"RPR_OPT_POW","전력"
"RPR_OPT_WAT","물"
"RPR_OPT_SEW","하수"
"RPR_OPT_GAR","쓰레기"
"RPR_OPT_POL","오염"
"RPR_OPT_NOI","소음"
"RPR_OPT_MAI","우편"
"RPR_OPT_PRO","생산"
"RPR_OPT_WEA","부"
"RPR_OPT_RTD","기본값으로 되돌리기"
"RPR_OPT_RTS","저장 시점으로 되돌리기"
"RPR_OPT_SAA","저장하고 적용함"
"RPR_OPT_SCH","학교"
"RPR_OPT_SEN","현실적인 학교당 학생 정원 적용"
"RPR_OPT_SEJ","현실적인 학교 특성 (일자리, 비용) - 재시작 필요."
"RPR_OPT_SDM","기본 학교 정원 계수"
"RPR_OPT_JB0","무학자 일자리"
"RPR_OPT_JB1","초졸자 일자리"
"RPR_OPT_JB2","고졸자 일자리"
"RPR_OPT_JB3","대졸자 일자리"
"RPR_OPT_SHE","초등학교"
"RPR_OPT_SHH","고등학교"
"RPR_OPT_SJB","기본 일자리"
"RPR_OPT_SJX","학생 #명당 추가 일자리"
"RPR_OPT_CRI","범죄"
"RPR_OPT_CML","범죄율 계수"
"RPR_OPT_CML_TIP","도시의 기본 범죄율에 이 계수가 곱해집니다."
"RPR_OPT_POP","인구 계산법"
"RPR_OPT_STO","층수 계산법"
"RPR_OPT_DEF","기본 계산법"
"RPR_OPT_PSI","생산, 판매, 재고 설정"
"RPR_OPT_EDT_NAM","계산법 이름"
"RPR_OPT_SVC","서비스"
"RPR_OPT_CPK","계산법"
"RPR_OPT_NEW","새 계산법 추가"
"RPR_OPT_DEL","계산법 삭제"
"RPR_OPT_NPK","새 계산법"
"RPR_OPT_MEA","미터법이 아니라 미국 관례적 단위계로 수치를 표시"
"RPR_OPT_LDT","자세한 디버깅 기록 허용"
"RPR_OPT_ZON","게임 시작부터 모든 형태의 영역을 설정할 수 있음"
"RPR_DEF_DMR","기본 거주 건물 계산법 :"
"RPR_DEF_DMC","기본 상업 건물 계산법 :"
"RPR_DEF_DMI","기본 산업 건물 계산법 :"
"RPR_DEF_DMO","기본 사무 건물 계산법 :"
"RPR_DEF_LTS","이 세이브 파일"
"RPR_DEF_LAS","새 세이브 파일"
"RPR_DEF_VIS","손님 (방문객) 정원"
"RPR_DEF_VIS_TIP","이 건물이 한 번에 수용할 수 있는 손님 수를 계산하는 기준입니다. 옛 방법은 건물 부지의 크기를 사용하는 것이었고, 새 방법은 건물이 가진 일자리의 갯수를 사용하는 것입니다."
"RPR_DEF_VNE","새 방법 (인구)"
"RPR_DEF_VOL","옛 방법 (부지 크기)"
"RPR_DEF_VMU","손님 정원 계수"
"RPR_DEF_VMU_TIP","지금까지의 계산으로 얻어진 손님 정원에 이 계수가 곱해집니다."
"RPR_DEF_CGM","매출 계수"
"RPR_DEF_CGM_TIP","이 건물이 손님들에게 판매한 상품의 양에 이 계수가 곱해집니다. 계수를 낮추면 필요한 상품의 양이 줄어들지만 세금 수입도 같이 줄어듭니다."
"RPR_DEF_IDC","상품 발주 중단점"
"RPR_DEF_IDC_TIP","건물들은 이 수치를 넘는 만큼의 재고를 보유하고 있다면 상품을 발주하지 않습니다. 계산으로 얻어진 상품 발주 중단점이 어차피 이 수치보다 낮은 건물들은 아무런 영향을 받지 않습니다."
"RPR_DEF_PMD","계산 모드"
"RPR_DEF_PMD_TIP","이 건물의 생산률을 계산하는 기준입니다. 옛 방법은 건물 부지의 크기를 사용하는 것이었고, 새 방법은 건물이 가진 일자리의 갯수를 사용하는 것입니다."
"RPR_DEF_PRD","생산 계수"
"RPR_DEF_PRD_TIP","이 건물이 생산한 상품의 양에 이 계수가 곱해집니다."
"TRN_CHOICE","언어 설정"
"LANGUAGE_GAME","시스템 언어 사용"
"NOTE_CLOSE","닫기"
"NOTE_DONTSHOWAGAIN","다시 보지 않기"
"MES_PAGE","더 많은 정보는 이 모드의 스팀 창작마당 페이지에서 얻을 수 있습니다."
"RPR_OLD_0","이 세이브파일에는 Realistic Population 2 모드가 적용되지 않았습니다."
"RPR_OLD_1","이미 만들어진 도시에 다른 인구 계산법을 적용하면 일시적으로 도시의 균형이 깨질 수 있음을 명심하십시오."
"RPR_OLD_3","어떤 경우에도, 이미 지어진 주택은 그 정원과 가구 수를 유지하며 *아무* 영향도 받지 않을 것이며, 이미 고용된 일꾼들은 일터에서 즉시 해고되지 *않을* 것이니, 도시의 인구에는 *아무런* 즉각적인 영향이 미치지 않을 것임을 유의하십시오."
"RPR_OLD_4","이 모드의 기준 계산법으로 즉시 적용될 새로운 계산법을 선택하십시오."
"RPR_OLD_5","바닐라 계산법을 선택하여 게임의 기본 계산법을 유지합니다. 이 모드의 계산법은 나중에 바꿀 수 있습니다."
"RPR_OLD_6","옛 계산법을 선택하여 이 모드의 옛 버전 (Realistic Population and Consumption과 Realistic Population Revisited version 1) 계산법을 유지합니다. 옛 버전이 적용된 세이브 파일에만 적용하십시오."
"RPR_OLD_VAN","바닐라 계산법"
"RPR_OLD_LEG","옛 계산법"
"RPR_OLD_NEW","새 계산법"
"UNABLE_TO_OPERATE","Realistic Population 2가 제대로 동작할 수 없으며 종료되어야 함을 의미합니다.","Warning message letting the user know that the mod can't work."
"HARMONY_ERROR","Realistic Population 2가 필수적인 Harmony 패치를 완료하지 못했습니다.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","이 문제의 원인으로 예상되는 것은 다음과 같습니다.","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","이 모드의 구동에 필요한 Harmony 2 mod dependency가 설치되지 않았습니다.","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","오래 되었거나 고장난 모드가 있어서 Harmony 2가 제대로 작동하지 않습니다.","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","다른 모드가 이 모드에 적용될 수 없는 Harmony 패치를 시도하고 있는 것일 수 있습니다.","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"CONFLICTING_MODS","충돌하는 모드는 다음과 같습니다.","Part of the mod conflict warning notification - header for the list of conflicting mods."
"CONFLICT_DETECTED","Realistic Population 2가 1개 이상의 다른 모드와의 충돌을 감지했습니다.","Warning message that a mod conflict was detected."
"RPR_ERR_CON1","Realistic Population 2가 작동되기 위해서는 이 모드들이 제거되어야 합니다."
"RPR_200_0","많은 차이점이 있음을 표현하기 위해, Realistic Population Revisited에서 Realistic Population 2로 모드의 이름을 바꿨습니다."
"RPR_200_1","중요한 새 특징 : 실제 건물의 모양과 크기, 그로부터 현실성 있게 계산된 바닥 먼적에 기반한 새로운 건물 인구 계산법. 새 계산법과 옛 계산법 중 선택할 수 있음."
"RPR_200_2","중요한 새 특징 : 건물 바닥 면적과 인구수에 대한, 미리 만들어진 독립된 계산법. 이 계산값은 직접 강제 지정할 수도 있습니다."
"RPR_200_3","중요한 새 특징 : 각 빌딩의 서비스 유형에 따라 미리 만들어진 설정을 선택할 수 있음."
"RPR_200_4","중요한 새 특징 : 초등학교와 고등학교의 학생 정원 현실화 가능. 현실적인 크기의 학교 어셋이 없을 경우를 대비해 정원 계수를 지정할 수 있음."
"RPR_200_5","중요한 새 특징 : 범죄율 조정 가능"
"RPR_200_6","Harmony 2로 업그레이드 (boformer의 Harmony 2 모드가 필요합니다.)"
"RPR_200_7","건물 세부정보 창을 대폭 강화함"
"RPR_200_8","향상된 모드 충돌 감지 및 알림"
"RPR_200_9","이 모드의 코드 기반에 대한 중대한 오버홀, 청소 및 재설계."
"RPR_201_0","미터법 대신 미국 관례적 단위계 (피트, 제곱피트) 를 사용하는 옵션 추가."
"RPR_21_0","게임 버전 1.15 (광장과 거리) 에서 구동 가능"
"RPR_22_0","Plazas & Promenades 밀집 건물들은 이제 독립된 세팅을 적용받음"
"RPR_22_1","게임 시작부터 모든 형태의 영역을 설정할 수 있게 하는 옵션이 추가됨"
"RPR_221_0","상업 상품 판매 승수 갱신"
"RPR_222_0","금융 오피스 지원 추가"
