"LANGUAGE","Português Brasileiro"
"RPR_PCK_FEX_NAM","Indústria primária"
"RPR_PCK_FEX_DES","Extratores e processadores industriais"
"RPR_PCK_SVE_NAM","elementar (Vanilla) "
"RPR_PCK_SVE_DES","Escalonamento de acordo com a escola primária (Vanilla)"
"RPR_PCK_SVH_NAM","Escola (Vanilla)"
"RPR_PCK_SVH_DES","Dimensionamento de acordo com o ensino médio (Vanilla)"
"RPR_PCK_SVC_NAM","Comunidade (Vanilla)"
"RPR_PCK_SVC_DES","Dimensionamento de acordo com a escola comunitária (Vanilla)"
"RPR_PCK_SVA_NAM","Escola de arte (Vanilla)"
"RPR_PCK_SVA_DES","Dimensionamento de acordo com a escola de arte (Vanilla)"
"RPR_CAT_ALL","Todas as categorias"
"RPR_CAT_RES","Residencial"
"RPR_CAT_RLO","Residencial de baixa densidade"
"RPR_CAT_RHI","Residencial de alta densidade"
"RPR_CAT_RW2","Residencial de parede a parede"
"RPR_CAT_COM","Comercial"
"RPR_CAT_CLO","Comercial de baixa densidade"
"RPR_CAT_CHI","Comercial de alta densidade"
"RPR_CAT_CW2","Comercial de parede a parede"
"RPR_CAT_OFF","Escritório"
"RPR_CAT_OW2","Escritório de parede a parede"
"RPR_CAT_FIN","Escritórios financeiros"
"RPR_CAT_GEN","Genérico"
"RPR_CAT_ITC","Escritórios de TI"
"RPR_CAT_IND","Industrial"
"RPR_CAT_FAR","Agricultura"
"RPR_CAT_FOR","Silvicultura"
"RPR_CAT_OIL","Petróleo"
"RPR_CAT_ORE","Minério"
"RPR_CAT_EXT","Extrator"
"RPR_CAT_PRO","Processador"
"RPR_CAT_TOU","Turismo"
"RPR_CAT_LEI","Lazer"
"RPR_CAT_ORG","Produtos orgânicos e locais"
"RPR_CAT_ECO","Lojas ecológicas"
"RPR_CAT_SSH","Casas autossuficientes"
"RPR_CAT_ERL","Residencial Eco de baixa densidade"
"RPR_CAT_ERH","Residencial Eco de alta densidade"
"RPR_CAT_SIN","Indústria especializada"
"RPR_CAT_SCH","Escolas"
"RPR_FIL_NAME","Nome:"
"RPR_FIL_SET","Filtrar por configurações (ver dicas)"
"RPR_EDT_POP","Sobrepor a população"
"RPR_EDT_FLR","Sobrepor andares"
"RPR_FTR_ANY","Existem configurações personalizadas substituídas e pacotes de cálculo não padrão"
"RPR_FTR_OVR","Existe substituição de população e/ou andar"
"RPR_FTR_NDC","Existem pacotes de cálculo não padrão e/ou multiplicador populacional personalizado"
"RPR_CUS_TITLE","Configurações personalizadas"
"RPR_CUS_ADD","Adicionar configurações personalizadas"
"RPR_CUS_ADD_TIP","Adiciona (ou atualiza) uma configuração personalizada para o edifício selecionado"
"RPR_CUS_DEL","Remover configurações personalizadas"
"RPR_CUS_DEL_TIP","Remove a configuração personalizada do edifício selecionado"
"RPR_CUS_UPD","Atualizar configurações personalizadas"
"RPR_ERR_ZERO","ERRO: o valor precisa ser maior que zero"
"RPR_ERR_INV","ERRO: valor inválido"
"RPR_LBL_HOM","Casas:"
"RPR_LBL_JOB","Empregos:"
"RPR_LBL_STU","Estudantes:"
"RPR_LBL_OFF","Altura do primeiro andar"
"RPR_LBL_OFH","Altura do próximo andar"
"RPR_PRV_SFL","Mostrar andares calculados"
"RPR_CAL_MOD","Cálculos do Mod"
"RPR_CAL_DEN","Densidade demográfica"
"RPR_CAL_BFL","Andar do edifício"
"RPR_CAL_FOV","Usando substituição personalizada"
"RPR_CAL_FLG","A seleção de cálculo de andar não está disponível ao usar cálculos herdados"
"RPR_CAL_SAT","Salvar e aplicar a:"
"RPR_CAL_NBD","Apenas edifícios novos"
"RPR_CAL_ABD","Todos os edifícios"
"RPR_CAL_VOL_FLR","Andares"
"RPR_CAL_VOL_FLR_TIP","O número de andares para este edifício é calculado usando as configurações acima."
"RPR_CAL_VOL_TFA","Área total do andar"
"RPR_CAL_VOL_TFA_TIP","A área total deste edifício é calculada usando as configurações acima."
"RPR_CAL_VOL_UTS","Total de unidades"
"RPR_CAL_VOL_UTS_TIP","A população total (domicílios ou postos de trabalho) para este edifício é calculada utilizando as configurações acima."
"RPR_CAL_VOL_VIS","Contagem de visitantes"
"RPR_CAL_VOL_VIS_TIP","O número máximo de clientes simultâneos suportado por este edifício."
"RPR_CAL_VOL_PRD","Taxa de produção"
"RPR_CAL_VOL_PRD_TIP","A taxa máxima de produção deste edifício."
"RPR_CAL_VOL_FLH","Altura do andar"
"RPR_CAL_VOL_FLH_TIP","Altura típica, em metros, de cada andar deste edifício (o andar térreo tem opções adicionais abaixo)."
"RPR_CAL_VOL_FMN","Altura mínima do primeiro andar"
"RPR_CAL_VOL_FMN_TIP","A altura mínima do edifício necessária para que uma área do edifício conte como tendo pelo menos um andar."
"RPR_CAL_VOL_FMX","Altura extra do primeiro andar"
"RPR_CAL_VOL_FMX_TIP","A altura do primeiro andar será estendida para cima em N metros (no topo da altura típica do andar acima) antes que andares adicionais sejam adicionados acima."
"RPR_CAL_VOL_IGF","Ignore o primeiro andar"
"RPR_CAL_VOL_IGF_TIP","Se isso for definido, o primeiro andar do edifício é tratado como espaço vazio (por exemplo, um saguão ou área de entrada) sem domicílios ou trabalhadores."
"RPR_CAL_VOL_EPC","Área vazia (%)"
"RPR_CAL_VOL_EPC_TIP","Esse percentual de cada área será tratado como área vazia e não será incluído no cálculo da contagem dos domicílios ou trabalhadores."
"RPR_CAL_VOL_EMP","Área vazia (fixada)"
"RPR_CAL_VOL_EMP_TIP","Uma quantidade fixa de espaço será subtraída de cada andar antes que as famílias ou trabalhadores sejam calculados (tratadas como área vazia)."
"RPR_CAL_VOL_FXP","População fixada?"
"RPR_CAL_VOL_FXP_TIP","Se for definido, será usado um valor fixo para contagens de famílias ou trabalhadores, independentemente do tamanho do edifício (por exemplo, uma família por edifício)."
"RPR_CAL_VOL_UNI","Unidades"
"RPR_CAL_VOL_HOU","Famílias"
"RPR_CAL_VOL_WOR","Postos de trabalho"
"RPR_CAL_VOL_STU","Estudantes"
"RPR_CAL_VOL_UNI_TIP","Número fixo de famílias ou trabalhadores por edifício."
"RPR_CAL_VOL_APU","Área por unidade"
"RPR_CAL_VOL_APU_TIP","A área (em metros quadrados) necessária para cada família ou trabalhador (depois da área vazia ter sido deduzida)."
"RPR_CAL_VOL_MFU","Unidades com vários andares"
"RPR_CAL_VOL_MFU_TIP","Se não for definido, as contagens de famílias ou trabalhadores serão calculadas para cada andar individual do edifício. Se for definido, apenas o total do edifício será usado para calcular as contagens de famílias ou trabalhadores."
"RPR_CAL_VOL_ARA","área"
"RPR_CAL_UNI_HOU","casas"
"RPR_CAL_UNI_WOR","trabalhadores"
"RPR_CAL_UNI_STU","estudantes"
"RPR_CAL_HOM_CALC","Casas calculadas:"
"RPR_CAL_HOM_CUST","Casas personalizadas:"
"RPR_CAL_HOM_APPL","Casas aplicadas:"
"RPR_CAL_JOB_CALC","Empregos calculados:"
"RPR_CAL_JOB_CUST","Empregos personalizados:"
"RPR_CAL_JOB_APPL","Empregos aplicados:"
"RPR_CAL_BLD_X","Largura do edifício (m):"
"RPR_CAL_BLD_Z","Comprimento do edifício (m):"
"RPR_CAL_LOT_X","Largura do lote (quadrados):"
"RPR_CAL_LOT_Z","Comprimento do lote (quadrados):"
"RPR_CAL_BLD_Y","Altura dos andaimes (m):"
"RPR_CAL_BLD_M2","m2 por pessoa:"
"RPR_CAL_FLR_Y","Altura do andar (m):"
"RPR_CAL_FLR_M","Número de andares MOD"
"RPR_CAL_FLR","Andares calculados:"
"RPR_CAL_M2","Área calculada:"
"RPR_CAL_OVR","(Sobreposto)"
"RPR_CAL_OVM","O cálculo da população é substituído pela configuração manual"
"RPR_CAL_RICO","Ploppable RICO Revisited está controlando as configurações deste edifício."
"RPR_CAL_CAP_OVR","Multiplicador de capacidade personalizado"
"RPR_CAL_CAP_DEF","Multiplicador padrão:"
"RPR_CAL_SCH_PRO","Escala de pessoal e custos"
"RPR_CAL_SCH_WKR","Trabalhadores da Escola"
"RPR_CAL_SCH_WKR_TIP","O número e o nível de locais de trabalho disponíveis nesta escola, calculados usando as configurações acima"
"RPR_CAL_SCH_CST","Custo / manutenção"
"RPR_CAL_SCH_CST_TIP","O custo de construção da escola e o custo de manutenção semanal, calculados utilizando as configurações acima"
"RPR_TIT_RDF","Padrões de cálculo residencial"
"RPR_TIT_CDF","Padrões de cálculo comercial"
"RPR_TIT_IDF","Padrões de cálculo industrial"
"RPR_TIT_EDF","Padrões de cálculo de extratores"
"RPR_TIT_ODF","Padrões de cálculo de escritório"
"RPR_TIT_SDF","Padrões de cálculo da escola"
"RPR_TIT_CGO","Configurações de bens comerciais"
"RPR_TIT_IGO","Configurações de produção industrial"
"RPR_TIT_EGO","Configurações de produção de extratores"
"RPR_TIT_OGO","Configurações de produção de escritório"
"RPR_OPT_MOD","Configurações do mod"
"RPR_OPT_KEY","Botão de atalho para a janela de opções do edifício"
"PRESS_ANY_KEY","Pressione qualquer botão"
"RPR_OPT_LEG","Cálculos herdados"
"RPR_OPT_CON","Consumo"
"RPR_OPT_LVL","Nível"
"RPR_OPT_APH","Área por domicílio (m2)"
"RPR_OPT_APW","Área por trabalhador (m2)"
"RPR_OPT_FLR","Altura do andar (m)"
"RPR_OPT_POW","Energia"
"RPR_OPT_WAT","Água"
"RPR_OPT_SEW","Esgoto"
"RPR_OPT_GAR","Lixo"
"RPR_OPT_POL","Poluição"
"RPR_OPT_NOI","Ruído"
"RPR_OPT_MAI","Correio"
"RPR_OPT_PRO","Produção"
"RPR_OPT_WEA","Riqueza"
"RPR_OPT_RTD","Restaurar padrões"
"RPR_OPT_RTS","Reverter ao salvamento anterior"
"RPR_OPT_SAA","Salvar e aplicar"
"RPR_OPT_SCH","Escolas"
"RPR_OPT_SEN","Habilitar capacidades reais de alunos nas escolas"
"RPR_OPT_SEJ","Habilitar propriedades reais de escolas (empregos, custos) - requer reinicialização"
"RPR_OPT_SDM","Multiplicador de capacidade escolar padrão"
"RPR_OPT_JB0","Empregos sem ensino básico"
"RPR_OPT_JB1","Empregos com ensino médio incompleto"
"RPR_OPT_JB2","Empregos com ensino médio completo"
"RPR_OPT_JB3","Empregos para universitários"
"RPR_OPT_SHE","Escolas primárias"
"RPR_OPT_SHH","Ensino médio"
"RPR_OPT_SJB","Empregos básicos"
"RPR_OPT_SJX","Emprego extra por # estudante"
"RPR_OPT_CRI","Crime"
"RPR_OPT_CML","Multiplicador de crimes"
"RPR_OPT_CML_TIP","A quantidade básica de crimes para a cidade será multiplicado por este valor"
"RPR_OPT_POP","Pacotes de cálculo populacional"
"RPR_OPT_STO","Pacotes de cálculo de andar"
"RPR_OPT_DEF","Pacotes de cálculo padrão"
"RPR_OPT_PSI","Configurações de produção, vendas e estoque"
"RPR_OPT_EDT_NAM","Nome do pacote"
"RPR_OPT_SVC","Serviço"
"RPR_OPT_CPK","Pacote de cálculo"
"RPR_OPT_NEW","Adicionar novo"
"RPR_OPT_DEL","Remover pacote"
"RPR_OPT_NPK","Novo pacote"
"RPR_OPT_MEA","Mostrar números usando sistema imperial(EUA), invés de sistema métrico"
"RPR_OPT_LDT","Habilitar registro de depuração detalhado"
"RPR_OPT_ZON","Ative todas as categorias de zoneamento desde o início do jogo"
"RPR_DEF_DMR","Modo padrão de cálculo de edifício residencial:"
"RPR_DEF_DMC","Modo padrão de cálculo de edifício comercial:"
"RPR_DEF_DMI","Modo padrão de cálculo de edifício industrial:"
"RPR_DEF_DMO","Modo padrão de cálculo de edifício de escritório:"
"RPR_DEF_LTS","Este salvamento"
"RPR_DEF_LAS","Novos salvamentos"
"RPR_DEF_VIS","Capacidade do cliente (visitante)"
"RPR_DEF_VIS_TIP","A base para calcular o número de clientes que este edifício pode lidar de uma vez. O método antigo era usar o tamanho do lote do prédio, e o novo método é usar o número de postos de trabalho no edifício."
"RPR_DEF_VNE","Novo método (população)"
"RPR_DEF_VOL","Método antigo (tamanho do lote)"
"RPR_DEF_VMU","Multiplicador para capacidade máxima de Clientes"
"RPR_DEF_VMU_TIP","A capacidade calculada de cliente será multiplicada por este valor"
"RPR_DEF_CGM","Multiplicador de vendas"
"RPR_DEF_CGM_TIP","A quantidade de mercadorias vendidas por este edifício por cliente será multiplicada por este valor; taxas reduzidas significarão menos mercadorias necessárias, mas a receita tributária também será reduzida"
"RPR_DEF_IDC","Limite de demanda de estoque"
"RPR_DEF_IDC_TIP","Define o nível máximo de estoque de construção que acionará o pedido de mais mercadorias (não afeta edifícios com níveis de acionamento de pedido de estoque calculados que já são inferiores a esse limite)."
"RPR_DEF_PMD","Modo de cálculo"
"RPR_DEF_PMD_TIP","A base para calcular a taxa de produção deste edifício. O método antigo era usar o tamanho do lote do prédio, e o novo método é usar o número de postos de trabalho no edifício."
"RPR_DEF_PRD","Multiplicador de produção"
"RPR_DEF_PRD_TIP","A quantidade de bens produzidos por este edifício será multiplicada por esta quantidade"
"TRN_CHOICE","Definir idioma"
"LANGUAGE_GAME","Use o idioma do sistema"
"NOTE_CLOSE","Fechar"
"NOTE_DONTSHOWAGAIN","Não mostra de novo"
"MES_PAGE","Por favor, consulte a página do mod na Oficina da Steam para mais informações."
"RPR_OLD_0","Este arquivo de salvamento não foi salvo com o mod População Realista 2."
"RPR_OLD_1","Por favor, esteja ciente que a aplicação de cálculos populacionais diferentes para uma cidade existente pode interromper temporariamente o equilíbrio da cidade."
"RPR_OLD_3","Observe que, em qualquer caso, os edifícios residenciais que já existem manterão suas capacidades e famílias existentes e NÃO serão afetados, trabalhadores já empregados NÃO serão imediatamente deslocados desses empregos, portanto, não haverá impacto imediato na população de sua cidade."
"RPR_OLD_4","Escolha novos cálculos para aplicar imediatamente os cálculos padrão do mod."
"RPR_OLD_5","Escolha os cálculos padrões para continuar usando os cálculos padrão do jogo. Você pode alterar para os cálculos do mod mais tarde."
"RPR_OLD_6","Escolha os cálculos herdados para usar os cálculos usados por versões anteriores deste mod (População e Consumo Realistas e População Realista Revisitada versão 1). Apenas escolha se seu arquivo de salvamento usou uma destas versões anteriores."
"RPR_OLD_VAN","Cálculos padrões(jogo base)"
"RPR_OLD_LEG","Utilizar cálculos herdados"
"RPR_OLD_NEW","Utilizar novos cálculos"
"UNABLE_TO_OPERATE","Isso significa que o mod População Realista 2 não consegue operar adequadamente e foi encerrado.","Warning message letting the user know that the mod can't work."
"HARMONY_ERROR","População Realista 2 não conseguiu completar seus patches, pois requer o Harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","As possíveis causas deste problema incluem:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Harmony 2 não foi instalado, ele é requerido pelo mod","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Um mod antigo e / ou quebrado está impedindo o Harmony 2 de funcionar corretamente","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Patch Harmony Conflitante, outro mod pode estar tentando executar a mesma função","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"CONFLICTING_MODS","Os mods com conflitos são:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"CONFLICT_DETECTED","População Realista 2 detectou um conflito com ao menos um outro mod.","Warning message that a mod conflict was detected."
"RPR_ERR_CON1","Estes mods devem ser removidos antes que População Realista funcione corretamente."
"RPR_200_0","Renomeando 'População Realista Revisitada' para 'População Realista 2' para refletir a extensão das mudanças"
"RPR_200_1","NOVO RECURSO PRINCIPAL: novos cálculos populacionais dos edifícios com base em formas e tamanhos reais dos edifícios com espaço físico calculado de forma realista, com a opção de escolher entre os cálculos novos ou antigos ('herdado')"
"RPR_200_2","NOVO RECURSO PRINCIPAL: predefinições de cálculo separadas para o espaço e população do edifício, com substituições manuais, opcionais para um ou ambos"
"RPR_200_3","NOVO RECURSO PRINCIPAL: predefinições de configuração selecionáveis para cada tipo de edifício de serviço"
"RPR_200_4","NOVO RECURSO PRINCIPAL: cálculos opcionais de capacidade reais de alunos para escolas de ensino fundamental e médio, com multiplicador configurável para quando edifícios escolares de tamanho real não estão disponíveis"
"RPR_200_5","NOVO RECURSO PRINCIPAL: taxa de criminalidade ajustável"
"RPR_200_6","Atualize para Harmony 2 (necessário o mod Harmony 2 do boformer)"
"RPR_200_7","Várias melhorias no painel de detalhes do edifício"
"RPR_200_8","Detecção e notificação de conflito de mod aprimoradas"
"RPR_200_9","Revisão significativa, limpeza e reestruturação da base de código do mod"
"RPR_201_0","Adicionar opção para usar medidas habituais dos EUA (pés e pés quadrados) em vez de medidas métricas"
"RPR_21_0","Compatibilidade com a versão 1.15 do jogo (Plazas & Promenades)"
"RPR_22_0","Os tipos de construção de parede a parede de praças e passeios agora têm configurações separadas"
"RPR_22_1","Adicionar opção desbloquear todos os tipos de zonamento no início do jogo"
"RPR_221_0","Atualizar o código do multiplicador de vendas de bens comerciais"
"RPR_222_0","Adicione suporte para escritórios financeiros"
