"LANGUAGE","Čeština"
"RPR_PCK_SML_DES","Průvodce Minnesotského ministerstva školství - nejnižší hustota"
"RPR_PCK_SMM_NAM","MN střední"
"RPR_PCK_SMM_DES","Průvodce Minnesotského ministerstva školství - střední hustota"
"RPR_PCK_SMH_NAM","MN vysoké"
"RPR_PCK_SMH_DES","Průvodce Minnesotského ministerstva školství - nejvyšší hustota"
"RPR_PCK_SUK_NAM","Anglické standardní"
"RPR_PCK_SUK_DES","Standard planning densities for the UK."
"RPR_PCK_FDF_NAM","Obecné"
"RPR_PCK_FDF_DES","Standardní výška podlaží 3m."
"RPR_PCK_FHO_NAM","Samostatné domy"
"RPR_PCK_FHO_DES","Samostatně stojící obytné domy."
"RPR_PCK_FDL_NAM","Vstupní haly"
"RPR_PCK_FDL_DES","Budovy se vstupními halami a(nebo) vyvýšenými prvními patry."
"RPR_PCK_FCM_NAM","Komerční"
"RPR_PCK_FCM_DES","Obchodní, kancelářské, vzdělávací a průmyslové budovy s vyšší výškou podlaží."
"RPR_PCK_FWH_NAM","Sklad"
"RPR_PCK_FWH_DES","Maloobchodní, komerční a průmyslové sklady."
"RPR_PCK_FHB_NAM","High-bay warehouse"
"RPR_PCK_FHB_DES","High-bay industrial and commercial warehouses."
"RPR_PCK_FEX_NAM","Hlavní průmysl"
"RPR_PCK_FEX_DES","Industrial extractors and processors"
"RPR_PCK_SVE_NAM","Vanilla základní"
"RPR_PCK_SVE_DES","Škálování podle vanilla základní školy"
"RPR_PCK_SVH_NAM","Vanilla střední škola"
"RPR_PCK_SVH_DES","Škálování podle vanilla střední školy"
"RPR_PCK_SVC_NAM","Vanilla komunitní"
"RPR_PCK_SVC_DES","Škálování podle vanilla komunitní školy"
"RPR_PCK_SVA_NAM","Vanilla umělecká škola"
"RPR_PCK_SVA_DES","Škálování podle vanilla umělecké školy"
"RPR_CAT_ALL","Všechny kategorie"
"RPR_CAT_RES","Obytné"
"RPR_CAT_RLO","Obytné nízké"
"RPR_CAT_RHI","Obytné vysoké"
"RPR_CAT_RW2","Obytné zeď na zeď"
"RPR_CAT_COM","Komerční"
"RPR_CAT_CLO","Komerční nízké"
"RPR_CAT_CHI","Komerční vysoké"
"RPR_CAT_CW2","Komerční zeď na zeď"
"RPR_CAT_OFF","Kanceláře"
"RPR_CAT_OW2","Kanceláře zeď na zeď"
"RPR_CAT_FIN","Financial offices"
"RPR_CAT_GEN","Obecné"
"RPR_CAT_ITC","IT klastr"
"RPR_CAT_IND","Průmysl"
"RPR_CAT_FAR","Farmaření"
"RPR_CAT_FOR","Lesnictví"
"RPR_CAT_OIL","Ropa"
"RPR_CAT_ORE","Ruda"
"RPR_CAT_EXT","Extraktor"
"RPR_CAT_PRO","Procesor"
"RPR_CAT_TOU","Cestovní ruch"
"RPR_CAT_LEI","Volný čas"
"RPR_CAT_ORG","Ekologické a místní produkty"
"RPR_CAT_ECO","Eko obchody"
"RPR_CAT_SSH","Soběstačné domovy"
"RPR_CAT_ERL","Eko obytné nízké"
"RPR_CAT_ERH","Eko obytné vysoké"
"RPR_CAT_SIN","Specializovaný průmysl"
"RPR_CAT_SCH","Školy"
"RPR_FIL_NAME","Název:"
"RPR_FIL_SET","Filtrování podle nastavení (viz popisky)"
"RPR_EDT_POP","Přepsat počet obyvatel"
"RPR_EDT_FLR","Přepsat podlaží"
"RPR_FTR_ANY","Has custom override and/or non-default calculation pack"
"RPR_FTR_OVR","Má změnu populace a(nebo) podlaží"
"RPR_FTR_NDC","Has non-default calculation pack and/or custom population multiplier"
"RPR_CUS_TITLE","Vlastní nastavení"
"RPR_CUS_ADD","Přidat vlastní nastavení"
"RPR_CUS_ADD_TIP","Adds (or updates) a custom setting for the selected building"
"RPR_CUS_DEL","Odstranit vlastní nastavení"
"RPR_CUS_DEL_TIP","Removes the custom setting from the selected building"
"RPR_CUS_UPD","Aktualizovat vlastní nastavení"
"RPR_ERR_ZERO","CHYBA: hodnota musí být větší než nula"
"RPR_ERR_INV","CHYBA: neplatná hodnota"
"RPR_LBL_HOM","Byty:"
"RPR_LBL_JOB","Pracovní místa:"
"RPR_LBL_STU","Studenti:"
"RPR_LBL_OFF","Výška prvního patra"
"RPR_LBL_OFH","Výška dalšího patra"
"RPR_PRV_SFL","Zobrazit vypočtené podlaží"
"RPR_CAL_MOD","Výpočty módu"
"RPR_CAL_DEN","Hustota obyvatelstva"
"RPR_CAL_BFL","Podlaží budov"
"RPR_CAL_FOV","Použití vlastního přepsání"
"RPR_CAL_FLG","Floor calculation selection is not available when using legacy calculations"
"RPR_CAL_SAT","Uložit a použít na:"
"RPR_CAL_NBD","Pouze nové budovy"
"RPR_CAL_ABD","Všechny budovy"
"RPR_CAL_VOL_FLR","Podlaží"
"RPR_CAL_VOL_FLR_TIP","The number of floors (stories) for this building calculated using the above settings."
"RPR_CAL_VOL_TFA","Celková plocha podlaží"
"RPR_CAL_VOL_TFA_TIP","The total floor area for this building calculated using the above settings."
"RPR_CAL_VOL_UTS","Celkem jednotek"
"RPR_CAL_VOL_UTS_TIP","The total population (households or workplaces) for this building calculated using the above settings."
"RPR_CAL_VOL_VIS","Počet návštěvníků"
"RPR_CAL_VOL_VIS_TIP","The maximum number of simultaneous customers supported by this building."
"RPR_CAL_VOL_PRD","Rychlost výroby"
"RPR_CAL_VOL_PRD_TIP","This building's maximum rate of production."
"RPR_CAL_VOL_FLH","Výška podlaží"
"RPR_CAL_VOL_FLH_TIP","The typical floor-to-floor height, in meters, of each story in this building (the first floor has additional options below)."
"RPR_CAL_VOL_FMN","Výška prvního patra (min)"
"RPR_CAL_VOL_FMN_TIP","The minimum building height required for a section of the building to count as having at least one story."
"RPR_CAL_VOL_FMX","Extra výška prvního patra"
"RPR_CAL_VOL_FMX_TIP","The first floor height will be extended upwards by this many meters (on top of the typical floor height above) before additional floors are added above."
"RPR_CAL_VOL_IGF","Ignorovat první patro"
"RPR_CAL_VOL_IGF_TIP","If this is set, the first floor of the building is treated as empty space (e.g. a lobby or foyer area) with no households or workers."
"RPR_CAL_VOL_EPC","Prázdná oblast (%)"
"RPR_CAL_VOL_EPC_TIP","This percentage of each floor area will be treated as empty area and will not be included when calculating households or worker counts."
"RPR_CAL_VOL_EMP","Prázdná oblast (pevná)"
"RPR_CAL_VOL_EMP_TIP","Pevně stanovená plocha, která se odečte od každého podlaží před výpočtem domácností nebo pracovníků (považuje se za prázdnou plochu)."
"RPR_CAL_VOL_FXP","Fixní počet obyvatel?"
"RPR_CAL_VOL_FXP_TIP","If this is set, a fixed figure for household or worker counts will be used, regardless of building size (e.g. one household per building)."
"RPR_CAL_VOL_UNI","Jednotky"
"RPR_CAL_VOL_HOU","Počet domácností"
"RPR_CAL_VOL_WOR","Pracovní místa"
"RPR_CAL_VOL_STU","Studenti"
"RPR_CAL_VOL_UNI_TIP","Fixed number of households or workers per building."
"RPR_CAL_VOL_APU","Plocha na jednotku"
"RPR_CAL_VOL_APU_TIP","The area (in square meters) required for each household or worker (after empty area has been deducted)."
"RPR_CAL_VOL_MFU","Vícepodlažní jednotky"
"RPR_CAL_VOL_MFU_TIP","If this is not set, then household or worker counts will be calculated for each individual floor in the building. If this is set, only the building total will be used to calculate household or worker counts."
"RPR_CAL_VOL_ARA","oblast"
"RPR_CAL_UNI_HOU","domácnosti"
"RPR_CAL_UNI_WOR","pracovníci"
"RPR_CAL_UNI_STU","studenti"
"RPR_CAL_HOM_CALC","Vypočtené domovy:"
"RPR_CAL_HOM_CUST","Upravené domovy:"
"RPR_CAL_HOM_APPL","Použité domovy:"
"RPR_CAL_JOB_CALC","Vypočtené pracovní místa:"
"RPR_CAL_JOB_CUST","Upravené pracovní místa:"
"RPR_CAL_JOB_APPL","Použité pracovní místa:"
"RPR_CAL_BLD_X","Šířka budovy (m):"
"RPR_CAL_BLD_Z","Délka budovy (m):"
"RPR_CAL_LOT_X","Lot width (squares):"
"RPR_CAL_LOT_Z","Lot length (squares):"
"RPR_CAL_BLD_Y","Výška lešení (m):"
"RPR_CAL_BLD_M2","m2 na osobu:"
"RPR_CAL_FLR_Y","Výška podlaží (m):"
"RPR_CAL_FLR_M","Modifikace podlaží"
"RPR_CAL_FLR","Vypočtené podlaží:"
"RPR_CAL_M2","Vypočtená plocha:"
"RPR_CAL_OVR","(Přepsáno)"
"RPR_CAL_OVM","Výpočet populace je potlačen ručním nastavením"
"RPR_CAL_RICO","Ploppable RICO Revisited kontroluje údaje o této budově."
"RPR_CAL_CAP_OVR","Násobitel vlastní kapacity"
"RPR_CAL_CAP_DEF","Výchozí násobitel:"
"RPR_CAL_SCH_PRO","Staff and cost scaling"
"RPR_CAL_SCH_WKR","Zaměstnanci ve školách"
"RPR_CAL_SCH_WKR_TIP","The number and level of workplaces available at this school calculated using the above settings"
"RPR_CAL_SCH_CST","Náklady/údržba"
"RPR_CAL_SCH_CST_TIP","The school's construction cost and weekly maintenance cost calculated using the above settings"
"RPR_TIT_RDF","Výchozí výpočet obytných"
"RPR_TIT_CDF","Výchozí výpočet komerčních"
"RPR_TIT_IDF","Výchozí výpočet průmyslových"
"RPR_TIT_EDF","Výchozí výpočet těžebních závodů"
"RPR_TIT_ODF","Výchozí výpočet kanceláří"
"RPR_TIT_SDF","Výchozí výpočet škol"
"RPR_TIT_CGO","Nastavení zboží v obchodech"
"RPR_TIT_IGO","Nastavení výroby průmyslu"
"RPR_TIT_EGO","Nastavení výroby těžebních závodů"
"RPR_TIT_OGO","Nastavení výroby kanceláří"
"RPR_OPT_MOD","Nastavení módu"
"RPR_OPT_KEY","Klávesová zkratka pro obrazovku nastavení budovy"
"PRESS_ANY_KEY","Stiskněte libovolnou klávesu"
"RPR_OPT_LEG","Původní"
"RPR_OPT_CON","Spotřeba"
"RPR_OPT_LVL","Úroveň"
"RPR_OPT_APH","Plocha na domácnost (m2)"
"RPR_OPT_APW","Plocha na pracovníka (m2)"
"RPR_OPT_FLR","Výška podlaží (m)"
"RPR_OPT_POW","Energie"
"RPR_OPT_WAT","Voda"
"RPR_OPT_SEW","Kanalizace"
"RPR_OPT_GAR","Odpad"
"RPR_OPT_POL","Znečištění"
"RPR_OPT_NOI","Hluk"
"RPR_OPT_MAI","Pošta"
"RPR_OPT_PRO","Produkce"
"RPR_OPT_WEA","Majetek"
"RPR_OPT_RTD","Obnovit výchozí nastavení"
"RPR_OPT_RTS","Vrátit se k uloženým"
"RPR_OPT_SAA","Uložit a použít"
"RPR_OPT_SCH","Školy"
"RPR_OPT_SEN","Povolit reálné kapacity žáků"
"RPR_OPT_SEJ","Povolit realistické vlastnosti školy (práce, náklady) - vyžaduje restart"
"RPR_OPT_SDM","Výchozí násobitel kapacity školy"
"RPR_OPT_JB0","Pracovní místa pro nevzdělané"
"RPR_OPT_JB1","Pracovní místa pro vzdělané"
"RPR_OPT_JB2","Pracovní místa pro dobře vzdělané"
"RPR_OPT_JB3","Pracovní místa pro vysoce vzdělané"
"RPR_OPT_SHE","Základní školy"
"RPR_OPT_SHH","Střední školy"
"RPR_OPT_SJB","Základní pracovní pozice"
"RPR_OPT_SJX","Extra pracovní místo na # studentů"
"RPR_OPT_CRI","Kriminalita"
"RPR_OPT_CML","Násobitel kriminality"
"RPR_OPT_CML_TIP","The base crime accumulation for the city will be multiplied by this amount"
"RPR_OPT_POP","Balíky pro výpočet počtu obyvatel"
"RPR_OPT_STO","Balíky pro výpočet podlaží"
"RPR_OPT_DEF","Výchozí výpočetní balíky"
"RPR_OPT_PSI","Nastavení výroby, prodeje a inventáře"
"RPR_OPT_EDT_NAM","Název balíku"
"RPR_OPT_SVC","Služba"
"RPR_OPT_CPK","Výpočetní balík"
"RPR_OPT_NEW","Přidat nový"
"RPR_OPT_DEL","Odstranit sadu"
"RPR_OPT_NPK","Nová sada"
"RPR_OPT_MEA","Display figures in US Customary units (instead of metric)"
"RPR_OPT_LDT","Povolit další ladící protokolování"
"RPR_OPT_ZON","Povolit všechny typy zónování od začátku hry"
"RPR_DEF_DMR","Default residential building calculation mode:"
"RPR_DEF_DMC","Default commercial building calculation mode:"
"RPR_DEF_DMI","Default industrial building calculation mode:"
"RPR_DEF_DMO","Default office building calculation mode:"
"RPR_DEF_LTS","Tato uložená pozice"
"RPR_DEF_LAS","Nové uložené pozice"
"RPR_DEF_VIS","Kapacita zákazníků (návštěvníků)"
"RPR_DEF_VIS_TIP","The basis for calculating the number of customers this building can handle at once. The old method was to use the size of the building's lot, and the new method is to use the number of workplaces in the building."
"RPR_DEF_VNE","Nová metoda (počet obyvatel)"
"RPR_DEF_VOL","Stará metoda (velikost pozemku)"
"RPR_DEF_VMU","Násobitel kapacity zákazníků"
"RPR_DEF_VMU_TIP","The calculated customer capacity will be multiplied by this amount"
"RPR_DEF_CGM","Násobitel prodeje"
"RPR_DEF_CGM_TIP","The amount of goods sold by this building per customer will be multiplied by this amount; reduced rates will mean fewer goods are required, but tax revenue will also be reduced"
"RPR_DEF_IDC","Limit poptávky po zásobách"
"RPR_DEF_IDC_TIP","Sets the maximum building inventory level that will trigger the ordering of more goods (does not affect buildings with calculated inventory order trigger levels that are already lower than this cap)."
"RPR_DEF_PMD","Režim výpočtů"
"RPR_DEF_PMD_TIP","The basis for calculating the production rate of this building. The old method was to use the size of the building's lot, and the new method is to use the number of workplaces in the building."
"RPR_DEF_PRD","Násobitel produkce"
"RPR_DEF_PRD_TIP","The amount of goods produced by this building will be muliplied by this amount"
"TRN_CHOICE","Nastavit jazyk"
"LANGUAGE_GAME","Použít jazyk hry"
"NOTE_CLOSE","Zavřít"
"NOTE_DONTSHOWAGAIN","Znovu nezobrazovat"
"MES_PAGE","Další informace naleznete na stránce módu na Steam Workshopu."
"RPR_OLD_0","Tento uložený soubor nebyl uložen s Realistic Population 2."
"RPR_OLD_1","Please be aware that applying different population calculations to an existing city can temporarily disrupt city balance."
"RPR_OLD_3","Note that in any case, existing residential buildings will retain their existing capacities and households and will NOT be affected, and workers with existing jobs will NOT be immediately displaced from those jobs, so there will be no immediate impact on your city's population."
"RPR_OLD_4","Choose new calculations to immediately apply the mod's standard calculations."
"RPR_OLD_5","Choose vanilla calculations to continue using the game's default calculations.  You can change to the mod's calculations later."
"RPR_OLD_6","Choose legacy calculations to use the calculations used by earlier versions of this mod (the Realistic Population and Consumption mod and Realistic Population Revisited version 1).  Only choose this if your savefile used one of these earlier versions."
"RPR_OLD_VAN","Vanilla výpočty"
"RPR_OLD_LEG","Výpočty starší verze"
"RPR_OLD_NEW","Nové výpočty"
"UNABLE_TO_OPERATE","This means that Realistic Population 2 is not able to operate properly and has shut down.","Warning message letting the user know that the mod can't work."
"HARMONY_ERROR","Realistic Population 2 nedokázal dokončit požadované záplaty Harmony.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Možné příčiny tohoto problému zahrnují:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Vyžadován mód Harmony 2, který není nainstalován","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Starý a (nebo) rozbitý mód brání správnému fungování Harmony 2","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Jiný mód se možná pokouší použít konfliktní Harmony záplatu","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"CONFLICTING_MODS","Konfliktní módy jsou:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"CONFLICT_DETECTED","Realistic Population 2 zjistil konflikt s alespoň jedním dalším modem.","Warning message that a mod conflict was detected."
"RPR_ERR_CON1","Tyto mody musí být odstraněny před tím, než bude možné pracovat se Realistic Population 2."
"RPR_200_0","Renaming from 'Realistic Population Revisited' to 'Realistic Population 2' to reflect the extent of the changes"
"RPR_200_1","MAJOR NEW FEATURE: new building population calculations based on actual building shapes and sizes with realistically calculated floorspace, with the option to choose between the new or old ('legacy') calculations"
"RPR_200_2","MAJOR NEW FEATURE: separate calculation presets for building floorspace and population, along with optional manual overrides for either or both"
"RPR_200_3","MAJOR NEW FEATURE: volitelné předvolby konfigurace pro každý typ služeb budovy"
"RPR_200_4","MAJOR NEW FEATURE: optional realistic student capacity calculations for elementary and high schools, with configurable multiplier for when realistically-sized school buildings aren't available"
"RPR_200_5","MAJOR NEW FEATURE: přizpůsobitelná míra trestné činnosti"
"RPR_200_6","Upgradovat na Harmony 2 (je vyžadován modul Harmony 2)"
"RPR_200_7","Různá vylepšení panelu detailů budovy"
"RPR_200_8","Vylepšené oznamování konfliktů a chyb módu"
"RPR_200_9","Významná revize, vyčištění a restrukturalizace kódu módu"
"RPR_201_0","Add option to use US customary measures (feet and square feet) in place of metric measurements"
"RPR_21_0","Kompatibilní s verzí 1.15 (Plazas & Promenades)"
"RPR_22_0","Plazas & Promenades typy budov zeď na zeď mají nyní samostatné nastavení"
"RPR_22_1","Přidat možnost odemknout všechny typy zónování od začátku hry"
"RPR_221_0","Update commercial goods sales multiplier code"
"RPR_222_0","Add support for financial offices"
